"Numero,Accion,Clasificacion,BotonCorregir,BotonRetroalimentar"
"50,Peatonal,Condición Insegura,""Supervisar áreas de tránsito."",""Mantén el tránsito seguro en áreas peatonales. Sigue los procedimientos."""
"51,Peatonal,Falla Administrativa,""Revisar señalización y permisos."",""Actualizar señalizaciones mejora la seguridad en áreas peatonales."""
"52,Peatonal,Acto Inseguro,""Supervisar y capacitar en áreas críticas."",""Tu seguridad depende de seguir normas en áreas peatonales."""
"53,Peatonal,Conductas inapropiadas en zonas críticas.,""Reforzar normas de conducta."",""Tu conducta afecta la seguridad de todos en áreas peatonales."""
"54,Peatonal,NO trae gafete visible.,""Implementar gafetes obligatorios."",""Portar gafete asegura un mejor control en áreas peatonales."""
"55,Peatonal,Desobediencia de órdenes de seguridad.,""Registrar incumplimientos graves."",""Cumplir órdenes asegura el tránsito seguro en áreas peatonales."""
"56,Peatonal,EPP incompleto.,""Verificar y completar EPP necesario."",""El EPP completo protege en áreas peatonales. No lo olvides."""
"57,Ambiental,Condición Insegura,""Supervisar la calidad ambiental y eliminar riesgos presentes."",""Un ambiente seguro es vital para protegerte a ti y a tus compañeros."""
"58,Ambiental,Falla Administrativa,""Revisar procedimientos para control ambiental y actualizarlos si es necesario."",""Mantener políticas claras protege el medioambiente y evita accidentes."""
"59,Ambiental,Acto Inseguro,""Capacitar sobre prácticas seguras para el manejo de elementos ambientales peligrosos."",""El manejo adecuado protege el entorno y evita accidentes."""
"60,Ambiental,Conductas inapropiadas en zonas críticas.,""Supervisar y reubicar trabajadores a áreas seguras."",""La conducta profesional es esencial en zonas ambientales críticas."""
"61,Ambiental,NO trae gafete visible.,""Implementar control de acceso mediante gafetes visibles."",""Portar gafete es clave para un acceso seguro en zonas ambientales críticas."""
"62,Ambiental,Desobediencia de órdenes de seguridad.,""Registrar y capacitar sobre la importancia de cumplir las normas ambientales."",""Cumplir normas protege el entorno y tu seguridad."""
"63,Ambiental,EPP incompleto.,""Verificar y proveer EPP adecuado para el entorno."",""El EPP completo protege frente a riesgos ambientales. Úsalo siempre."""
"64,Ayudas visuales,Condición Insegura,""Revisar señalización visual y actualizarla según estándares."",""Una señalización adecuada evita riesgos y mejora la seguridad."""
"65,Ayudas visuales,Falla Administrativa,""Revisar y actualizar procedimientos para señalización visual."",""Actualizar procedimientos mejora la comunicación visual y reduce riesgos."""
"66,Ayudas visuales,Acto Inseguro,""Supervisar cumplimiento de las señalizaciones visuales."",""Obedecer señales visuales es clave para evitar accidentes."""
"67,Ayudas visuales,Conductas inapropiadas en zonas críticas.,""Supervisar el área y corregir comportamientos que generen riesgos."",""El cumplimiento visual evita errores graves en áreas críticas."""
"68,Ayudas visuales,NO trae gafete visible.,""Implementar sistemas de identificación visibles."",""Portar gafete asegura un control visual adecuado."""
"69,Ayudas visuales,Desobediencia de órdenes de seguridad.,""Registrar el incumplimiento y reforzar normas visuales."",""Cumplir con las señales visuales mejora la seguridad colectiva."""
"70,Ayudas visuales,EPP incompleto.,""Supervisar uso del EPP y completar faltantes en áreas señalizadas."",""El EPP debe estar completo en todas las zonas señalizadas."""
"71,Buenas prácticas,Condición Insegura,""Promover charlas de buenas prácticas para reducir riesgos."",""Las buenas prácticas evitan accidentes y protegen a todos."""
"72,Buenas prácticas,Falla Administrativa,""Revisar los registros de cumplimiento de buenas prácticas y actualizarlos."",""Cumplir con procedimientos mejora el ambiente laboral y la seguridad."""
"73,Buenas prácticas,Acto Inseguro,""Capacitar sobre la importancia de las buenas prácticas y supervisar su implementación."",""Implementar buenas prácticas mejora tu seguridad y eficiencia."""
"74,Buenas prácticas,Conductas inapropiadas en zonas críticas.,""Supervisar e implementar correcciones en zonas críticas."",""Las buenas prácticas son clave en zonas críticas para evitar incidentes."""
"75,Buenas prácticas,NO trae gafete visible.,""Supervisar gafetes visibles en zonas que promuevan buenas prácticas."",""Portar gafete facilita identificar a quienes cumplen con las buenas prácticas."""
"76,Buenas prácticas,Desobediencia de órdenes de seguridad.,""Registrar y capacitar sobre la importancia de cumplir órdenes."",""Cumplir normas de seguridad asegura el cumplimiento de buenas prácticas."""
"77,Buenas prácticas,EPP incompleto.,""Supervisar y completar el EPP necesario para buenas prácticas."",""El EPP es esencial para mantener estándares de buenas prácticas."""
"78,Actitud,Condición Insegura,""Promover charlas sobre la importancia de la actitud en seguridad."",""Una actitud positiva evita errores y fomenta un ambiente seguro."""
"79,Actitud,Falla Administrativa,""Revisar registros de comportamiento y actualizarlos en la evaluación."",""La actitud afecta la seguridad colectiva. Regístrala y mejórala."""
"80,Actitud,Acto Inseguro,""Supervisar y corregir actitudes inseguras mediante retroalimentación."",""Tu actitud marca la diferencia en la prevención de riesgos."""
"81,Actitud,Conductas inapropiadas en zonas críticas.,""Supervisar y reubicar personal con actitudes negativas en zonas críticas."",""Mantén una actitud profesional en zonas críticas."""
"82,Actitud,NO trae gafete visible.,""Reforzar el control visual mediante gafetes en las zonas de evaluación."",""Tu gafete ayuda a identificarte y evaluar tu actitud de manera efectiva."""
"83,Actitud,Desobediencia de órdenes de seguridad.,""Registrar y corregir actitudes de desobediencia mediante capacitaciones."",""Cumplir órdenes mejora tu actitud y protege a todos."""
"84,Actitud,EPP incompleto.,""Verificar que el EPP se utilice correctamente en cada zona."",""El EPP y tu actitud son esenciales para trabajar de forma segura."""
"85,Izaje,Condición Insegura,""Inspeccionar equipo de izaje y garantizar cumplimiento de normas."",""Revisar las condiciones del equipo evita accidentes graves en izaje."""
"86,Izaje,Falla Administrativa,""Revisar y actualizar procedimientos para operaciones de izaje."",""Los procedimientos claros aseguran operaciones de izaje sin riesgos."""
"87,Izaje,Acto Inseguro,""Supervisar el uso seguro de equipos y capacitar al personal."",""Un manejo seguro del equipo evita errores y protege a todos."""
"88,Izaje,Conductas inapropiadas en zonas críticas.,""Reforzar normas de conducta y supervisar en áreas críticas."",""Las conductas seguras evitan errores críticos en izaje."""
"89,Izaje,NO trae gafete visible.,""Supervisar que todos los operadores porten gafetes en áreas de izaje."",""Portar gafete facilita la identificación en operaciones críticas."""
"90,Izaje,Desobediencia de órdenes de seguridad.,""Registrar y aplicar sanciones administrativas por incumplimientos."",""Cumplir normas de izaje protege tu vida y la de tus compañeros."""
"91,Izaje,EPP incompleto.,""Completar EPP necesario para operaciones de izaje."",""El EPP completo es obligatorio para izaje seguro."""
"92,Herramientas/Equipos,Condición Insegura,""Inspeccionar herramientas y equipos para garantizar su estado."",""Revisar herramientas evita riesgos durante su uso."""
"93,Herramientas/Equipos,Falla Administrativa,""Revisar y actualizar registros de mantenimiento y uso."",""Un control administrativo efectivo asegura la calidad de los equipos."""
"94,Herramientas/Equipos,Acto Inseguro,""Supervisar y capacitar sobre el uso correcto de herramientas."",""El manejo correcto de herramientas reduce riesgos innecesarios."""
"95,Herramientas/Equipos,Conductas inapropiadas en zonas críticas.,""Reasignar y reforzar capacitación en normas de equipo."",""El manejo seguro de equipos es clave en zonas críticas."""
"96,Herramientas/Equipos,NO trae gafete visible.,""Supervisar que todos los operadores porten gafetes visibles."",""Portar gafete es obligatorio para usar herramientas críticas."""
"97,Herramientas/Equipos,Desobediencia de órdenes de seguridad.,""Registrar incumplimientos y reforzar capacitaciones."",""Cumplir órdenes mejora el manejo de herramientas y equipos."""
"98,Herramientas/Equipos,EPP incompleto.,""Completar el EPP necesario y supervisar su uso."",""El EPP protege durante el manejo de herramientas. Úsalo siempre."""
"99,Otros (Especifique),Condición Insegura,""A capturar según el riesgo específico identificado."",""Analicemos el riesgo y tomemos acciones específicas."""
"100,Otros (Especifique),Falla Administrativa,""A capturar según las políticas internas."",""Documentemos la incidencia para mejorar procedimientos."""
"101,Otros (Especifique),Acto Inseguro,""A capturar según el comportamiento observado."",""Revisemos juntos la causa y soluciones del acto inseguro."""
"102,Otros (Especifique),Conductas inapropiadas en zonas críticas.,""A capturar según las condiciones del área."",""Es clave que el trabajador entienda el impacto de su conducta en zonas críticas."""
"103,Otros (Especifique),NO trae gafete visible.,""A capturar y reforzar controles de acceso."",""Un gafete visible asegura una identificación rápida en emergencias."""
"104,Otros (Especifique),Desobediencia de órdenes de seguridad.,""A capturar según las políticas de la empresa."",""Cumplir normas de seguridad es clave para evitar accidentes graves."""
"105,Otros (Especifique),EPP incompleto.,""A capturar y completar el equipo necesario."",""El EPP completo es esencial para prevenir riesgos."""
